122,123,125,69,70,70,70,70,70,70,70,70,71,125,122,123,
139,140,142,86,87,90,90,87,90,87,87,87,91,142,139,140,
215,215,215,92,93,93,93,93,93,93,93,93,94,215,215,215,
154,217,0,0,0,0,173,156,0,0,0,0,0,0,0,0,
171,216,216,0,0,0,0,0,0,0,0,0,0,0,0,0,
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,
205,215,0,0,215,0,0,215,0,0,215,0,0,0,0,206,
0,219,0,0,219,0,0,219,0,0,219,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,215,0,0,215,0,0,215,0,0,215,0,0,0,267,268,
0,219,0,0,219,0,0,219,0,0,219,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
168,236,175,176,177,236,236,0,0,0,0,0,0,0,0,189,
185,0,251,0,252,0,0,0,0,0,0,0,0,0,0,206,
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
205,0,0,0,0,0,0,0,0,0,258,259,137,138,139,140
